product_id,product_category_name,product_name_lenght,product_description_lenght,product_photos_qty,product_weight_g,product_length_cm,product_height_cm,product_width_cm
96bd76ec8810374ed1b65e291975717f,esporte_lazer,46,250,1,154,18,9,15
03b63c5fc16691530586ae020c345514,bebes,49,728,4,7150,50,19,45
6a2fb4dd53d2cdb88e0432f1284a004c,perfumaria,39,346,2,400,27,5,20
d03bd02af9fff4b98f1c972315e5e9ef,moveis_decoracao,56,209,1,1800,40,10,30
8b3a9476f74f5297f7ff0ec6d95fe1ea,moveis_decoracao,63,254,2,2050,49,13,41
83b9bc6aae6f527ff6aafb9e01d6cbf3,brinquedos,20,866,3,2550,22,32,38
5f504b3a1c75b73d6151be81eb05bdc9,cool_stuff,38,1176,3,15350,47,40,47
bbf920aa6ac72007a726e6f419156f8f,moveis_decoracao,42,303,2,1300,25,16,25
1065dbb6b0bf03daaedab1236979e296,papelaria,49,488,3,1400,38,40,39
adf591c625cb265c12bc6749d3a2f757,beleza_saude,60,1146,6,150,20,24,33
723f62c36c298037716bf60c0ad0df3a,relogios_presentes,57,276,4,250,16,2,11
c33d78b97260227119fb2b71be168fca,cama_mesa_banho,39,170,1,650,27,10,22
bcd58b852a3b0152b6b384c4e4474ba2,cool_stuff,59,797,2,1400,25,20,20
e0bbe6292471ff5ab3752414baf78111,relogios_presentes,43,572,2,500,16,11,11
dd768d259ee6054e0dadd66c8e2be0b6,cama_mesa_banho,52,700,2,350,16,10,16
f9471562478eba8761bc985b968a0092,utilidades_domesticas,38,390,1,850,18,21,15
4473f3e5c65952b074ef987fa5c24662,telefonia,59,776,6,350,17,4,12
6b017e0d95d8765a6f2bed3bc272c61e,fashion_underwear_e_moda_praia,39,422,1,250,36,4,20
5e21d5cab5d33e770d8150a4ee6117db,relogios_presentes,60,312,4,200,16,2,11
68bfdbfe84f03af17733b10362f10020,moveis_decoracao,63,244,4,600,29,12,23
47969dd948e918289f809be899ddfb4c,papelaria,48,501,1,258,19,12,19
04869307f7e7dc5b07f1d83406ade1e5,brinquedos,58,443,2,3305,38,36,19
